customer_count,vehicle_capacity,instance_name_corner,selected_run_corner,corner_final_distance,corner_final_routes,corner_avg_utilisation,corner_capacity_feasible,corner_customer_coverage_feasible,instance_name_central,selected_run_central,central_final_distance,central_final_routes,central_avg_utilisation,central_capacity_feasible,central_customer_coverage_feasible,distance_change_corner_to_central_pct,route_count_change,utilisation_change,notes_or_warnings
20,15,20c_cap15_dem1-6,run_2026_07_08_175041,85.80873524593231,5,0.8933333333333333,True,True,20c_cap15_dem1-6,run_2026_07_08_184618,60.02064033948727,5,0.8933333333333333,True,True,-30.052994992333836,0,0.0,
20,25,20c_cap25_dem1-6,run_2026_07_08_175042,62.42843491492199,3,0.8933333333333332,True,True,20c_cap25_dem1-6,run_2026_07_08_184618,47.4161543021348,3,0.8933333333333334,True,True,-24.047184000761927,0,2.220446049250313e-16,
20,35,20c_cap35_dem1-6,run_2026_07_08_175042,53.99443072244089,2,0.9571428571428571,True,True,20c_cap35_dem1-6,run_2026_07_08_184618,44.12666109675361,2,0.9571428571428571,True,True,-18.27553229778954,0,0.0,
40,15,40c_cap15_dem1-6,run_2026_07_08_175042,359.3747093919813,10,0.9333333333333332,True,True,40c_cap15_dem1-6,run_2026_07_08_184619,238.7093871143928,10,0.9333333333333333,True,True,-33.576464654883395,0,1.1102230246251565e-16,
40,25,40c_cap25_dem1-6,run_2026_07_08_175043,253.06930640563567,6,0.9333333333333332,True,True,40c_cap25_dem1-6,run_2026_07_08_184619,167.25015426136576,6,0.9333333333333332,True,True,-33.911323883234374,0,0.0,
40,35,40c_cap35_dem1-6,run_2026_07_08_175043,208.13085439914883,4,1.0,True,True,40c_cap35_dem1-6,run_2026_07_08_184619,137.1565511887401,4,1.0,True,True,-34.10080807831392,0,0.0,
60,15,60c_cap15_dem1-6,run_2026_07_08_175043,844.8704302650916,16,0.925,True,True,60c_cap15_dem1-6,run_2026_07_08_184620,522.4426481247547,16,0.9249999999999999,True,True,-38.16298577749609,0,-1.1102230246251565e-16,
60,25,60c_cap25_dem1-6,run_2026_07_08_175044,569.3717758519158,10,0.8879999999999999,True,True,60c_cap25_dem1-6,run_2026_07_08_184620,354.100646068636,10,0.8879999999999999,True,True,-37.80853546194539,0,0.0,
60,35,60c_cap35_dem1-6,run_2026_07_08_175044,456.9478693607013,7,0.9061224489795918,True,True,60c_cap35_dem1-6,run_2026_07_08_184620,316.6076762347344,7,0.9061224489795919,True,True,-30.712517233598575,0,1.1102230246251565e-16,
80,15,80c_cap15_dem1-6,run_2026_07_08_175044,1406.9281666381887,19,0.9859649122807018,True,True,80c_cap15_dem1-6,run_2026_07_08_184621,928.8754128955061,19,0.9859649122807018,True,True,-33.978476305935,0,0.0,
80,25,80c_cap25_dem1-6,run_2026_07_08_175045,927.4912240797756,12,0.9366666666666666,True,True,80c_cap25_dem1-6,run_2026_07_08_184621,601.716059238925,12,0.9366666666666669,True,True,-35.12433933421563,0,2.220446049250313e-16,
80,35,80c_cap35_dem1-6,run_2026_07_08_175045,737.2279195456705,9,0.892063492063492,True,True,80c_cap35_dem1-6,run_2026_07_08_184622,505.36387665166495,9,0.892063492063492,True,True,-31.450795167510176,0,0.0,
