customer_count,vehicle_capacity,instance_name,routing_case,clustering_strategy,selected_run_timestamp,depot_setting_or_geometry,customer_delivery_distance,supplier_depot_replenishment_distance,supplier_direct_distance,depot_customer_distance,total_system_distance,reported_final_distance,direct_customer_count,depot_customer_count,n_routes,avg_utilisation,min_utilisation,max_utilisation,capacity_feasible,customer_coverage_feasible,supplier_feasible,structural_validity,cluster_count,cluster_sizes,global_depot_pool_used,total_system_distance_check,notes_or_warnings
20,15,20c_cap15,case_1_supplier_depot_customer,kmeans,run_2026_07_09_114351,central_depot_supplier_network,58.96069620811622,12.0,,58.96069620811622,70.96069620811622,58.96069620811622,,20,5,0.8933333333333333,0.7333333333333333,1.0,True,True,True,True,3,5|7|8,not_applicable,ok,
20,25,20c_cap25,case_1_supplier_depot_customer,kmeans,run_2026_07_09_114351,central_depot_supplier_network,48.61307394318473,12.0,,48.61307394318473,60.61307394318473,48.61307394318473,,20,4,0.6699999999999999,0.0,1.0,True,True,True,True,3,5|7|8,not_applicable,ok,
20,35,20c_cap35,case_1_supplier_depot_customer,kmeans,run_2026_07_09_114352,central_depot_supplier_network,44.05228560489705,12.0,,44.05228560489705,56.05228560489705,44.05228560489705,,20,3,0.6380952380952382,0.42857142857142855,0.8,True,True,True,True,3,5|7|8,not_applicable,ok,
40,15,40c_cap15,case_1_supplier_depot_customer,kmeans,run_2026_07_09_114352,central_depot_supplier_network,233.31315517856814,24.0,,233.31315517856814,257.31315517856814,233.31315517856814,,40,11,0.8484848484848485,0.0,1.0,True,True,True,True,3,13|10|17,not_applicable,ok,
40,25,40c_cap25,case_1_supplier_depot_customer,kmeans,run_2026_07_09_114352,central_depot_supplier_network,170.50815409673746,24.0,,170.50815409673746,194.50815409673746,170.50815409673746,,40,7,0.8,0.52,1.0,True,True,True,True,3,13|10|17,not_applicable,ok,
40,35,40c_cap35,case_1_supplier_depot_customer,kmeans,run_2026_07_09_114353,central_depot_supplier_network,141.00485179174805,24.0,,141.00485179174805,165.00485179174805,141.00485179174805,,40,6,0.6666666666666666,0.0,0.9714285714285714,True,True,True,True,3,13|10|17,not_applicable,ok,
60,15,60c_cap15,case_1_supplier_depot_customer,kmeans,run_2026_07_09_114353,central_depot_supplier_network,534.3479719843294,36.0,,534.3479719843294,570.3479719843294,534.3479719843294,,60,17,0.8705882352941177,0.0,1.0,True,True,True,True,3,17|18|25,not_applicable,ok,
60,25,60c_cap25,case_1_supplier_depot_customer,kmeans,run_2026_07_09_114354,central_depot_supplier_network,370.0585275947408,36.0,,370.0585275947408,406.0585275947408,370.0585275947408,,60,10,0.8879999999999999,0.48,1.0,True,True,True,True,3,17|18|25,not_applicable,ok,
60,35,60c_cap35,case_1_supplier_depot_customer,kmeans,run_2026_07_09_114354,central_depot_supplier_network,303.22838648615686,36.0,,303.22838648615686,339.22838648615686,303.22838648615686,,60,7,0.9061224489795918,0.7142857142857143,1.0,True,True,True,True,3,17|18|25,not_applicable,ok,
80,15,80c_cap15,case_1_supplier_depot_customer,kmeans,run_2026_07_09_114354,central_depot_supplier_network,845.4672934723992,48.0,,845.4672934723992,893.4672934723992,845.4672934723992,,80,20,0.9366666666666668,0.4,1.0,True,True,True,True,3,25|23|32,not_applicable,ok,
80,25,80c_cap25,case_1_supplier_depot_customer,kmeans,run_2026_07_09_114355,central_depot_supplier_network,617.0145667659358,48.0,,617.0145667659358,665.0145667659358,617.0145667659358,,80,13,0.8646153846153847,0.44,1.0,True,True,True,True,3,25|23|32,not_applicable,ok,
80,35,80c_cap35,case_1_supplier_depot_customer,kmeans,run_2026_07_09_114355,central_depot_supplier_network,460.52947017032375,48.0,,460.52947017032375,508.52947017032375,460.52947017032375,,80,10,0.8028571428571428,0.0,1.0,True,True,True,True,3,25|23|32,not_applicable,ok,
20,15,20c_cap15,case_1_supplier_depot_customer,not_available,,central_depot_supplier_network,,,,,,,,20,,,,,,,,,,,not_applicable,not_available,Case 1 no-clustering result folder not available
20,25,20c_cap25,case_1_supplier_depot_customer,not_available,,central_depot_supplier_network,,,,,,,,20,,,,,,,,,,,not_applicable,not_available,Case 1 no-clustering result folder not available
20,35,20c_cap35,case_1_supplier_depot_customer,not_available,,central_depot_supplier_network,,,,,,,,20,,,,,,,,,,,not_applicable,not_available,Case 1 no-clustering result folder not available
40,15,40c_cap15,case_1_supplier_depot_customer,not_available,,central_depot_supplier_network,,,,,,,,40,,,,,,,,,,,not_applicable,not_available,Case 1 no-clustering result folder not available
40,25,40c_cap25,case_1_supplier_depot_customer,not_available,,central_depot_supplier_network,,,,,,,,40,,,,,,,,,,,not_applicable,not_available,Case 1 no-clustering result folder not available
40,35,40c_cap35,case_1_supplier_depot_customer,not_available,,central_depot_supplier_network,,,,,,,,40,,,,,,,,,,,not_applicable,not_available,Case 1 no-clustering result folder not available
60,15,60c_cap15,case_1_supplier_depot_customer,not_available,,central_depot_supplier_network,,,,,,,,60,,,,,,,,,,,not_applicable,not_available,Case 1 no-clustering result folder not available
60,25,60c_cap25,case_1_supplier_depot_customer,not_available,,central_depot_supplier_network,,,,,,,,60,,,,,,,,,,,not_applicable,not_available,Case 1 no-clustering result folder not available
60,35,60c_cap35,case_1_supplier_depot_customer,not_available,,central_depot_supplier_network,,,,,,,,60,,,,,,,,,,,not_applicable,not_available,Case 1 no-clustering result folder not available
80,15,80c_cap15,case_1_supplier_depot_customer,not_available,,central_depot_supplier_network,,,,,,,,80,,,,,,,,,,,not_applicable,not_available,Case 1 no-clustering result folder not available
80,25,80c_cap25,case_1_supplier_depot_customer,not_available,,central_depot_supplier_network,,,,,,,,80,,,,,,,,,,,not_applicable,not_available,Case 1 no-clustering result folder not available
80,35,80c_cap35,case_1_supplier_depot_customer,not_available,,central_depot_supplier_network,,,,,,,,80,,,,,,,,,,,not_applicable,not_available,Case 1 no-clustering result folder not available
20,15,20c_cap15,case_1_supplier_depot_customer,sweep,run_2026_07_09_113737,central_depot_supplier_network,59.84277065461154,12.0,,59.84277065461154,71.84277065461154,59.84277065461154,,20,6,0.7444444444444445,0.0,1.0,True,True,True,True,6,3|4|3|3|3|4,not_applicable,ok,
20,25,20c_cap25,case_1_supplier_depot_customer,sweep,run_2026_07_09_113737,central_depot_supplier_network,46.941074509945146,12.0,,46.941074509945146,58.941074509945146,46.941074509945146,,20,3,0.8933333333333334,0.68,1.0,True,True,True,True,3,7|6|7,not_applicable,ok,
20,35,20c_cap35,case_1_supplier_depot_customer,sweep,run_2026_07_09_113738,central_depot_supplier_network,40.781632658703806,12.0,,40.781632658703806,52.781632658703806,40.781632658703806,,20,2,0.9571428571428571,0.9142857142857143,1.0,True,True,True,True,2,10|10,not_applicable,ok,
40,15,40c_cap15,case_1_supplier_depot_customer,sweep,run_2026_07_09_113738,central_depot_supplier_network,220.62517418408868,24.0,,220.62517418408868,244.62517418408868,220.62517418408868,,40,11,0.8484848484848485,0.0,1.0,True,True,True,True,11,4|3|3|3|4|4|3|4|5|4|3,not_applicable,ok,
40,25,40c_cap25,case_1_supplier_depot_customer,sweep,run_2026_07_09_113739,central_depot_supplier_network,167.52750274501892,24.0,,167.52750274501892,191.52750274501892,167.52750274501892,,40,7,0.7999999999999999,0.52,1.0,True,True,True,True,7,6|6|6|6|7|7|2,not_applicable,ok,
40,35,40c_cap35,case_1_supplier_depot_customer,sweep,run_2026_07_09_113739,central_depot_supplier_network,140.0420805730546,24.0,,140.0420805730546,164.0420805730546,140.0420805730546,,40,5,0.8,0.37142857142857144,0.9714285714285714,True,True,True,True,5,8|10|9|11|2,not_applicable,ok,
60,15,60c_cap15,case_1_supplier_depot_customer,sweep,run_2026_07_09_113740,central_depot_supplier_network,525.5352481609432,36.0,,525.5352481609432,561.5352481609432,525.5352481609432,,60,18,0.8222222222222224,0.0,1.0,True,True,True,True,18,2|3|3|3|3|3|4|4|4|3|3|4|5|4|3|4|2|3,not_applicable,ok,
60,25,60c_cap25,case_1_supplier_depot_customer,sweep,run_2026_07_09_113740,central_depot_supplier_network,368.26489630030477,36.0,,368.26489630030477,404.26489630030477,368.26489630030477,,60,10,0.8880000000000001,0.56,1.0,True,True,True,True,10,5|6|6|7|7|5|7|7|6|4,not_applicable,ok,
60,35,60c_cap35,case_1_supplier_depot_customer,sweep,run_2026_07_09_113741,central_depot_supplier_network,293.45181992658826,36.0,,293.45181992658826,329.45181992658826,293.45181992658826,,60,7,0.9061224489795918,0.7142857142857143,1.0,True,True,True,True,7,8|8|9|8|10|10|7,not_applicable,ok,
80,15,80c_cap15,case_1_supplier_depot_customer,sweep,run_2026_07_09_113741,central_depot_supplier_network,865.0361610298744,48.0,,865.0361610298744,913.0361610298744,865.0361610298744,,80,22,0.8515151515151516,0.0,1.0,True,True,True,True,22,2|4|5|3|3|3|3|3|5|3|4|4|2|4|3|6|3|4|4|5|3|4,not_applicable,ok,
80,25,80c_cap25,case_1_supplier_depot_customer,sweep,run_2026_07_09_113742,central_depot_supplier_network,592.4132260196737,48.0,,592.4132260196737,640.4132260196737,592.4132260196737,,80,13,0.8646153846153848,0.0,1.0,True,True,True,True,13,6|8|5|5|8|7|5|6|8|6|8|5|3,not_applicable,ok,
80,35,80c_cap35,case_1_supplier_depot_customer,sweep,run_2026_07_09_113743,central_depot_supplier_network,476.08764249353453,48.0,,476.08764249353453,524.0876424935345,476.08764249353453,,80,9,0.892063492063492,0.22857142857142856,1.0,True,True,True,True,9,11|8|9|11|8|11|9|10|3,not_applicable,ok,
20,15,20c_cap15,case_2_supplier_customer_direct,kmeans,run_2026_07_09_115636,direct_supplier_customer_no_depot_route,65.63297277702314,0,65.63297277702314,,65.63297277702314,65.63297277702314,20,,10,0.44666666666666666,0.0,1.0,True,True,True,True,9,1|2|2|2|2|6|1|2|2,not_applicable,ok,
20,25,20c_cap25,case_2_supplier_customer_direct,kmeans,run_2026_07_09_115636,direct_supplier_customer_no_depot_route,50.129832412654935,0,50.129832412654935,,50.129832412654935,50.129832412654935,20,,9,0.2977777777777778,0.0,1.0,True,True,True,True,9,1|2|2|2|2|6|1|2|2,not_applicable,ok,
20,35,20c_cap35,case_2_supplier_customer_direct,kmeans,run_2026_07_09_115636,direct_supplier_customer_no_depot_route,45.72156005665569,0,45.72156005665569,,45.72156005665569,45.72156005665569,20,,9,0.21269841269841272,0.0,0.8571428571428571,True,True,True,True,9,1|2|2|2|2|6|1|2|2,not_applicable,ok,
40,15,40c_cap15,case_2_supplier_customer_direct,kmeans,run_2026_07_09_115637,direct_supplier_customer_no_depot_route,233.6240619252252,0,233.6240619252252,,233.6240619252252,233.6240619252252,40,,13,0.717948717948718,0.0,1.0,True,True,True,True,9,1|3|10|2|4|7|5|3|5,not_applicable,ok,
40,25,40c_cap25,case_2_supplier_customer_direct,kmeans,run_2026_07_09_115637,direct_supplier_customer_no_depot_route,192.33005162510995,0,192.33005162510995,,192.33005162510995,192.33005162510995,40,,11,0.5090909090909091,0.0,1.0,True,True,True,True,9,1|3|10|2|4|7|5|3|5,not_applicable,ok,
40,35,40c_cap35,case_2_supplier_customer_direct,kmeans,run_2026_07_09_115637,direct_supplier_customer_no_depot_route,145.59337216574968,0,145.59337216574968,,145.59337216574968,145.59337216574968,40,,10,0.4,0.0,1.0,True,True,True,True,9,1|3|10|2|4|7|5|3|5,not_applicable,ok,
60,15,60c_cap15,case_2_supplier_customer_direct,kmeans,run_2026_07_09_115638,direct_supplier_customer_no_depot_route,562.5058941860796,0,562.5058941860796,,562.5058941860796,562.5058941860796,60,,20,0.74,0.0,1.0,True,True,True,True,9,10|3|5|8|11|3|7|3|10,not_applicable,ok,
60,25,60c_cap25,case_2_supplier_customer_direct,kmeans,run_2026_07_09_115638,direct_supplier_customer_no_depot_route,379.97834577997935,0,379.97834577997935,,379.97834577997935,379.97834577997935,60,,12,0.7400000000000001,0.0,1.0,True,True,True,True,9,10|3|5|8|11|3|7|3|10,not_applicable,ok,
60,35,60c_cap35,case_2_supplier_customer_direct,kmeans,run_2026_07_09_115638,direct_supplier_customer_no_depot_route,325.4872658221094,0,325.4872658221094,,325.4872658221094,325.4872658221094,60,,11,0.5766233766233766,0.0,1.0,True,True,True,True,9,10|3|5|8|11|3|7|3|10,not_applicable,ok,
80,15,80c_cap15,case_2_supplier_customer_direct,kmeans,run_2026_07_09_115639,direct_supplier_customer_no_depot_route,889.1231593454308,0,889.1231593454308,,889.1231593454308,889.1231593454308,80,,24,0.7805555555555556,0.0,1.0,True,True,True,True,9,13|4|7|10|13|7|12|8|6,not_applicable,ok,
80,25,80c_cap25,case_2_supplier_customer_direct,kmeans,run_2026_07_09_115639,direct_supplier_customer_no_depot_route,629.4745790143811,0,629.4745790143811,,629.4745790143811,629.4745790143811,80,,15,0.7493333333333332,0.0,1.0,True,True,True,True,9,13|4|7|10|13|7|12|8|6,not_applicable,ok,
80,35,80c_cap35,case_2_supplier_customer_direct,kmeans,run_2026_07_09_115639,direct_supplier_customer_no_depot_route,511.49035579173557,0,511.49035579173557,,511.49035579173557,511.49035579173557,80,,12,0.669047619047619,0.0,1.0,True,True,True,True,9,13|4|7|10|13|7|12|8|6,not_applicable,ok,
20,15,20c_cap15,case_2_supplier_customer_direct,no_clustering,run_2026_07_09_122335,direct_supplier_customer_no_depot_route,63.40611899389782,0,63.40611899389782,,63.40611899389782,63.40611899389782,20,,5,0.8933333333333333,0.6666666666666666,1.0,True,True,True,True,,,not_applicable,ok,
20,25,20c_cap25,case_2_supplier_customer_direct,no_clustering,run_2026_07_09_122335,direct_supplier_customer_no_depot_route,45.338338299968726,0,45.338338299968726,,45.338338299968726,45.338338299968726,20,,4,0.67,0.2,1.0,True,True,True,True,,,not_applicable,ok,
20,35,20c_cap35,case_2_supplier_customer_direct,no_clustering,run_2026_07_09_122335,direct_supplier_customer_no_depot_route,40.93006594396948,0,40.93006594396948,,40.93006594396948,40.93006594396948,20,,3,0.6380952380952382,0.42857142857142855,0.8571428571428571,True,True,True,True,,,not_applicable,ok,
40,15,40c_cap15,case_2_supplier_customer_direct,no_clustering,run_2026_07_09_122335,direct_supplier_customer_no_depot_route,250.37669562521955,0,250.37669562521955,,250.37669562521955,250.37669562521955,40,,10,0.9333333333333332,0.7333333333333333,1.0,True,True,True,True,,,not_applicable,ok,
40,25,40c_cap25,case_2_supplier_customer_direct,no_clustering,run_2026_07_09_122336,direct_supplier_customer_no_depot_route,181.2188538338204,0,181.2188538338204,,181.2188538338204,181.2188538338204,40,,7,0.8,0.48,1.0,True,True,True,True,,,not_applicable,ok,
40,35,40c_cap35,case_2_supplier_customer_direct,no_clustering,run_2026_07_09_122336,direct_supplier_customer_no_depot_route,150.0389587916166,0,150.0389587916166,,150.0389587916166,150.0389587916166,40,,6,0.6666666666666666,0.2,1.0,True,True,True,True,,,not_applicable,ok,
60,15,60c_cap15,case_2_supplier_customer_direct,no_clustering,run_2026_07_09_122336,direct_supplier_customer_no_depot_route,548.9089866556761,0,548.9089866556761,,548.9089866556761,548.9089866556761,60,,17,0.8705882352941176,0.3333333333333333,1.0,True,True,True,True,,,not_applicable,ok,
60,25,60c_cap25,case_2_supplier_customer_direct,no_clustering,run_2026_07_09_122337,direct_supplier_customer_no_depot_route,405.33739929276,0,405.33739929276,,405.33739929276,405.33739929276,60,,11,0.8072727272727271,0.24,1.0,True,True,True,True,,,not_applicable,ok,
60,35,60c_cap35,case_2_supplier_customer_direct,no_clustering,run_2026_07_09_122337,direct_supplier_customer_no_depot_route,315.3241956473402,0,315.3241956473402,,315.3241956473402,315.3241956473402,60,,8,0.7928571428571429,0.3142857142857143,1.0,True,True,True,True,,,not_applicable,ok,
80,15,80c_cap15,case_2_supplier_customer_direct,no_clustering,run_2026_07_09_122337,direct_supplier_customer_no_depot_route,877.0411745206105,0,877.0411745206105,,877.0411745206105,877.0411745206105,80,,20,0.9366666666666668,0.6666666666666666,1.0,True,True,True,True,,,not_applicable,ok,
80,25,80c_cap25,case_2_supplier_customer_direct,no_clustering,run_2026_07_09_122338,direct_supplier_customer_no_depot_route,635.4341214833732,0,635.4341214833732,,635.4341214833732,635.4341214833732,80,,13,0.8646153846153847,0.6,1.0,True,True,True,True,,,not_applicable,ok,
80,35,80c_cap35,case_2_supplier_customer_direct,no_clustering,run_2026_07_09_122338,direct_supplier_customer_no_depot_route,510.91407848490496,0,510.91407848490496,,510.91407848490496,510.91407848490496,80,,9,0.892063492063492,0.6285714285714286,1.0,True,True,True,True,,,not_applicable,ok,
20,15,20c_cap15,case_2_supplier_customer_direct,sweep,run_2026_07_09_115342,direct_supplier_customer_no_depot_route,60.841478664336925,0,60.841478664336925,,60.841478664336925,60.841478664336925,20,,5,0.8933333333333333,0.6666666666666666,1.0,True,True,True,True,5,3|2|4|6|5,not_applicable,ok,
20,25,20c_cap25,case_2_supplier_customer_direct,sweep,run_2026_07_09_115342,direct_supplier_customer_no_depot_route,54.79575867334405,0,54.79575867334405,,54.79575867334405,54.79575867334405,20,,4,0.67,0.2,1.0,True,True,True,True,4,5|7|3|5,not_applicable,ok,
20,35,20c_cap35,case_2_supplier_customer_direct,sweep,run_2026_07_09_115342,direct_supplier_customer_no_depot_route,40.93006594396948,0,40.93006594396948,,40.93006594396948,40.93006594396948,20,,3,0.6380952380952382,0.42857142857142855,0.8571428571428571,True,True,True,True,3,5|10|5,not_applicable,ok,
40,15,40c_cap15,case_2_supplier_customer_direct,sweep,run_2026_07_09_115342,direct_supplier_customer_no_depot_route,263.78637596551715,0,263.78637596551715,,263.78637596551715,263.78637596551715,40,,12,0.7777777777777778,0.0,1.0,True,True,True,True,12,5|2|3|3|1|4|3|5|1|3|7|3,not_applicable,ok,
40,25,40c_cap25,case_2_supplier_customer_direct,sweep,run_2026_07_09_115343,direct_supplier_customer_no_depot_route,181.96909660488316,0,181.96909660488316,,181.96909660488316,181.96909660488316,40,,7,0.7999999999999999,0.52,1.0,True,True,True,True,7,7|4|3|7|6|7|6,not_applicable,ok,
40,35,40c_cap35,case_2_supplier_customer_direct,sweep,run_2026_07_09_115343,direct_supplier_customer_no_depot_route,155.96515611108038,0,155.96515611108038,,155.96515611108038,155.96515611108038,40,,6,0.6666666666666666,0.22857142857142856,0.9714285714285714,True,True,True,True,6,9|5|10|3|11|2,not_applicable,ok,
60,15,60c_cap15,case_2_supplier_customer_direct,sweep,run_2026_07_09_115343,direct_supplier_customer_no_depot_route,560.368195578196,0,560.368195578196,,560.368195578196,560.368195578196,60,,17,0.8705882352941176,0.26666666666666666,1.0,True,True,True,True,17,3|5|2|3|2|3|3|3|3|4|6|3|3|6|5|3|3,not_applicable,ok,
60,25,60c_cap25,case_2_supplier_customer_direct,sweep,run_2026_07_09_115344,direct_supplier_customer_no_depot_route,392.9086790418891,0,392.9086790418891,,392.9086790418891,392.9086790418891,60,,11,0.8072727272727274,0.24,1.0,True,True,True,True,11,6|6|5|1|6|6|7|3|7|8|5,not_applicable,ok,
60,35,60c_cap35,case_2_supplier_customer_direct,sweep,run_2026_07_09_115344,direct_supplier_customer_no_depot_route,325.1353058716005,0,325.1353058716005,,325.1353058716005,325.1353058716005,60,,8,0.7928571428571429,0.3142857142857143,1.0,True,True,True,True,8,9|6|3|8|11|3|10|10,not_applicable,ok,
80,15,80c_cap15,case_2_supplier_customer_direct,sweep,run_2026_07_09_115344,direct_supplier_customer_no_depot_route,980.1147782629438,0,980.1147782629438,,980.1147782629438,980.1147782629438,80,,22,0.8515151515151517,0.3333333333333333,1.0,True,True,True,True,22,4|5|3|3|3|4|2|5|3|3|4|4|4|4|3|4|3|6|2|4|3|4,not_applicable,ok,
80,25,80c_cap25,case_2_supplier_customer_direct,sweep,run_2026_07_09_115345,direct_supplier_customer_no_depot_route,650.9513970158838,0,650.9513970158838,,650.9513970158838,650.9513970158838,80,,14,0.8028571428571428,0.0,1.0,True,True,True,True,14,7|6|5|5|1|6|6|8|6|4|6|8|6|6,not_applicable,ok,
80,35,80c_cap35,case_2_supplier_customer_direct,sweep,run_2026_07_09_115345,direct_supplier_customer_no_depot_route,530.7845381062182,0,530.7845381062182,,530.7845381062182,530.7845381062182,80,,10,0.802857142857143,0.17142857142857143,1.0,True,True,True,True,10,11|7|6|9|8|10|3|11|10|5,not_applicable,ok,
20,15,20c_cap15,case_3_hybrid,kmeans,run_2026_07_27_170829,central_depot_supplier_network,90.78113835043219,24.0,,90.78113835043219,114.78113835043219,90.78113835043219,7,13,8,0.5583333333333333,0.3333333333333333,0.8,True,True,True,True,10,1|1|1|1|1|1|1|2|4|7,needs_check,ok,
20,25,20c_cap25,case_3_hybrid,kmeans,run_2026_07_27_170829,central_depot_supplier_network,73.43109878717637,24.0,,73.43109878717637,97.43109878717637,73.43109878717637,7,13,6,0.4466666666666666,0.2,0.72,True,True,True,True,10,1|1|1|1|1|1|1|2|4|7,needs_check,ok,
20,35,20c_cap35,case_3_hybrid,kmeans,run_2026_07_27_170829,central_depot_supplier_network,73.43109878717637,24.0,,73.43109878717637,97.43109878717637,73.43109878717637,7,13,6,0.319047619047619,0.14285714285714285,0.5142857142857142,True,True,True,True,10,1|1|1|1|1|1|1|2|4|7,needs_check,ok,
40,15,40c_cap15,case_3_hybrid,kmeans,run_2026_07_27_170830,central_depot_supplier_network,292.99911567690134,96.0,,292.99911567690134,388.99911567690134,292.99911567690134,15,25,12,0.7777777777777778,0.4,1.0,True,True,True,True,12,1|4|2|1|2|1|1|1|2|6|13|6,needs_check,ok,
40,25,40c_cap25,case_3_hybrid,kmeans,run_2026_07_27_170830,central_depot_supplier_network,215.18474879574904,48.0,,215.18474879574904,263.18474879574904,215.18474879574904,15,25,7,0.7999999999999999,0.48,0.96,True,True,True,True,12,1|4|2|1|2|1|1|1|2|6|13|6,needs_check,ok,
40,35,40c_cap35,case_3_hybrid,kmeans,run_2026_07_27_170830,central_depot_supplier_network,204.62300192541986,48.0,,204.62300192541986,252.62300192541986,204.62300192541986,15,25,7,0.5714285714285714,0.17142857142857143,1.0,True,True,True,True,12,1|4|2|1|2|1|1|1|2|6|13|6,needs_check,ok,
60,15,60c_cap15,case_3_hybrid,kmeans,run_2026_07_27_170831,central_depot_supplier_network,662.5752543717753,192.0,,662.5752543717753,854.5752543717753,662.5752543717753,25,35,18,0.8222222222222222,0.7333333333333333,1.0,True,True,True,True,12,2|2|6|1|2|5|1|3|3|16|8|11,needs_check,ok,
60,25,60c_cap25,case_3_hybrid,kmeans,run_2026_07_27_170831,central_depot_supplier_network,490.5700029166522,120.0,,490.5700029166522,610.5700029166521,490.5700029166522,25,35,11,0.8072727272727271,0.44,1.0,True,True,True,True,12,2|2|6|1|2|5|1|3|3|16|8|11,needs_check,ok,
60,35,60c_cap35,case_3_hybrid,kmeans,run_2026_07_27_170832,central_depot_supplier_network,413.68962645828617,72.0,,413.68962645828617,485.68962645828617,413.68962645828617,25,35,9,0.7047619047619047,0.14285714285714285,1.0,True,True,True,True,12,2|2|6|1|2|5|1|3|3|16|8|11,needs_check,ok,
