customer_count,vehicle_capacity,instance_name,routing_case,structure_variant,operator_pair,destroy_operator,repair_operator,source_folder,selected_run_timestamp,run_folder_count,metrics_source_file,baseline_distance,lns_distance,baseline_total_system_distance,lns_total_system_distance,customer_delivery_distance,supplier_depot_replenishment_distance,absolute_improvement,percent_improvement,customer_delivery_improvement_distance,customer_delivery_improvement_percent,system_improvement_distance,system_improvement_percent,best_n_remove,tested_n_remove_values,iterations,seed,temperature_initial,cooling_rate,temperature_minimum,n_routes,avg_utilisation,min_utilisation,max_utilisation,accepted_moves,rejected_moves,best_iteration,runtime_seconds,supplier_count,worst_removal_randomness,related_removal_randomness,distance_weight,demand_weight,route_weight,capacity_feasible,customer_coverage_feasible,supplier_feasible,structural_validity,hybrid_system_distance_check,ranking_distance_used,notes_or_warnings
20,15,20c_cap15,case_2_supplier_customer_direct,kmeans,random_greedy,random_removal,greedy_insertion,results/lns_supplier_customer_only_baseline_kmeans_v1,run_2026_07_09_154912,1,lns_sa_metrics_best.json,65.63297277702314,60.84147866433693,65.63297277702314,60.84147866433693,60.84147866433693,,4.791494112686209,7.300437432515048,,,,,2,"[2, 3, 4]",50,42,10.0,0.95,0.01,8,0.5583333333333333,0.0,1.0,,,,0.0923929214477539,,,,,,,,,,,not_applicable,60.84147866433693,
20,25,20c_cap25,case_2_supplier_customer_direct,kmeans,random_greedy,random_removal,greedy_insertion,results/lns_supplier_customer_only_baseline_kmeans_v1,run_2026_07_09_154913,1,lns_sa_metrics_best.json,50.129832412654935,45.32215330899516,50.129832412654935,45.32215330899516,45.32215330899516,,4.807679103659773,9.590455168659425,,,,,2,"[2, 3, 4]",50,42,10.0,0.95,0.01,6,0.4466666666666667,0.0,1.0,,,,0.07210683822631836,,,,,,,,,,,not_applicable,45.32215330899516,
20,35,20c_cap35,case_2_supplier_customer_direct,kmeans,random_greedy,random_removal,greedy_insertion,results/lns_supplier_customer_only_baseline_kmeans_v1,run_2026_07_09_154913,1,lns_sa_metrics_best.json,45.72156005665569,40.93006594396948,45.72156005665569,40.93006594396948,40.93006594396948,,4.791494112686209,10.479725772149612,,,,,2,"[2, 3, 4]",50,42,10.0,0.95,0.01,7,0.27346938775510204,0.0,0.8571428571428571,,,,0.07422327995300293,,,,,,,,,,,not_applicable,40.93006594396948,
40,15,40c_cap15,case_2_supplier_customer_direct,kmeans,random_greedy,random_removal,greedy_insertion,results/lns_supplier_customer_only_baseline_kmeans_v1,run_2026_07_09_154913,1,lns_sa_metrics_best.json,233.6240619252252,229.7930233824689,233.6240619252252,229.7930233824689,229.7930233824689,,3.831038542756289,1.639830465743066,,,,,5,"[2, 3, 4, 5]",50,42,10.0,0.95,0.01,11,0.8484848484848484,0.0,1.0,,,,0.09058713912963867,,,,,,,,,,,not_applicable,229.7930233824689,
40,25,40c_cap25,case_2_supplier_customer_direct,kmeans,random_greedy,random_removal,greedy_insertion,results/lns_supplier_customer_only_baseline_kmeans_v1,run_2026_07_09_154914,2,lns_sa_metrics_best.json,192.33005162510995,177.4955134322808,192.33005162510995,177.4955134322808,177.4955134322808,,14.834538192829143,7.713063074378335,,,,,5,"[2, 3, 4, 5]",50,42,10.0,0.95,0.01,7,0.8,0.48,1.0,,,,0.08785104751586914,,,,,,,,,,,not_applicable,177.4955134322808,
40,35,40c_cap35,case_2_supplier_customer_direct,kmeans,random_greedy,random_removal,greedy_insertion,results/lns_supplier_customer_only_baseline_kmeans_v1,run_2026_07_09_154914,1,lns_sa_metrics_best.json,145.59337216574968,145.5933721657497,145.59337216574968,145.5933721657497,145.5933721657497,,-2.842170943040401e-14,-1.9521293454242905e-14,,,,,2,"[2, 3, 4, 5]",50,42,10.0,0.95,0.01,10,0.4,0.0,1.0,,,,0.08459901809692383,,,,,,,,,,,not_applicable,145.5933721657497,
60,15,60c_cap15,case_2_supplier_customer_direct,kmeans,random_greedy,random_removal,greedy_insertion,results/lns_supplier_customer_only_baseline_kmeans_v1,run_2026_07_09_154914,1,lns_sa_metrics_best.json,562.5058941860796,535.448178990038,562.5058941860796,535.448178990038,535.448178990038,,27.057715196041613,4.810210075254926,,,,,5,"[2, 3, 4, 5, 6, 7, 8]",50,42,10.0,0.95,0.01,17,0.8705882352941177,0.26666666666666666,1.0,,,,0.09156084060668945,,,,,,,,,,,not_applicable,535.448178990038,
60,25,60c_cap25,case_2_supplier_customer_direct,kmeans,random_greedy,random_removal,greedy_insertion,results/lns_supplier_customer_only_baseline_kmeans_v1,run_2026_07_09_154915,1,lns_sa_metrics_best.json,379.97834577997935,368.79730570686206,379.97834577997935,368.79730570686206,368.79730570686206,,11.181040073117288,2.942546647011169,,,,,6,"[2, 3, 4, 5, 6, 7, 8]",50,42,10.0,0.95,0.01,12,0.7399999999999999,0.0,1.0,,,,0.09145307540893555,,,,,,,,,,,not_applicable,368.79730570686206,
60,35,60c_cap35,case_2_supplier_customer_direct,kmeans,random_greedy,random_removal,greedy_insertion,results/lns_supplier_customer_only_baseline_kmeans_v1,run_2026_07_09_154916,1,lns_sa_metrics_best.json,325.4872658221094,307.8119335877104,325.4872658221094,307.8119335877104,307.8119335877104,,17.67533223439898,5.430422044240339,,,,,7,"[2, 3, 4, 5, 6, 7, 8]",50,42,10.0,0.95,0.01,8,0.7928571428571429,0.2857142857142857,1.0,,,,0.0919349193572998,,,,,,,,,,,not_applicable,307.8119335877104,
80,15,80c_cap15,case_2_supplier_customer_direct,kmeans,random_greedy,random_removal,greedy_insertion,results/lns_supplier_customer_only_baseline_kmeans_v1,run_2026_07_09_154917,1,lns_sa_metrics_best.json,889.1231593454308,879.83839086332,889.1231593454308,879.83839086332,879.83839086332,,9.284768482110849,1.0442612347367333,,,,,6,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",50,42,10.0,0.95,0.01,20,0.9366666666666668,0.4,1.0,,,,0.1029360294342041,,,,,,,,,,,not_applicable,879.83839086332,
80,25,80c_cap25,case_2_supplier_customer_direct,kmeans,random_greedy,random_removal,greedy_insertion,results/lns_supplier_customer_only_baseline_kmeans_v1,run_2026_07_09_154918,1,lns_sa_metrics_best.json,629.4745790143811,608.9965388880747,629.4745790143811,608.9965388880747,608.9965388880747,,20.478040126306382,3.2531957300595833,,,,,10,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",50,42,10.0,0.95,0.01,13,0.8646153846153845,0.6,1.0,,,,0.10972189903259277,,,,,,,,,,,not_applicable,608.9965388880747,
80,35,80c_cap35,case_2_supplier_customer_direct,kmeans,random_greedy,random_removal,greedy_insertion,results/lns_supplier_customer_only_baseline_kmeans_v1,run_2026_07_09_154919,1,lns_sa_metrics_best.json,511.49035579173557,483.3477473177319,511.49035579173557,483.3477473177319,483.3477473177319,,28.14260847400368,5.502079981633623,,,,,11,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",50,42,10.0,0.95,0.01,11,0.7298701298701299,0.0,1.0,,,,0.11154508590698242,,,,,,,,,,,not_applicable,483.3477473177319,
20,15,20c_cap15,case_2_supplier_customer_direct,no_clustering,random_greedy,random_removal,greedy_insertion,results/lns_supplier_customer_only_no_cluster_v1,run_2026_07_09_160724,1,lns_sa_metrics_best.json,63.40611899389782,60.84147866433692,63.40611899389782,60.84147866433692,60.84147866433692,,2.564640329560902,4.044783642739152,,,,,3,"[2, 3, 4]",50,42,10.0,0.95,0.01,5,0.8933333333333333,0.6666666666666666,1.0,,,,0.07515525817871094,,,,,,,,,,,not_applicable,60.84147866433692,
20,25,20c_cap25,case_2_supplier_customer_direct,no_clustering,random_greedy,random_removal,greedy_insertion,results/lns_supplier_customer_only_no_cluster_v1,run_2026_07_09_160725,1,lns_sa_metrics_best.json,45.338338299968726,45.32215330899516,45.338338299968726,45.32215330899516,45.32215330899516,,0.01618499097356363,0.035698244753656516,,,,,2,"[2, 3, 4]",50,42,10.0,0.95,0.01,4,0.67,0.2,1.0,,,,0.07169795036315918,,,,,,,,,,,not_applicable,45.32215330899516,
