customer_count,vehicle_capacity,latest_finish_time_decimal_hours,latest_finish_time_label,working_day_limit_decimal_hours,working_day_limit_label,timing_feasible,selected_run_timestamp
20,15,10.796863,10:48,18.0,18:00,True,run_2026_07_16_170801
40,15,11.843933,11:51,18.0,18:00,True,run_2026_07_16_170802
60,15,12.347543,12:21,18.0,18:00,True,run_2026_07_16_170805
80,15,12.242673,12:15,18.0,18:00,True,run_2026_07_16_170806
100,15,12.875230,12:53,18.0,18:00,True,run_2026_07_16_170809
150,15,14.921232,14:55,18.0,18:00,True,run_2026_07_16_170811
200,15,18.798725,18:48,18.0,18:00,False,run_2026_07_16_170814
20,25,10.796863,10:48,18.0,18:00,True,run_2026_07_16_170801
40,25,12.172169,12:10,18.0,18:00,True,run_2026_07_16_170803
60,25,12.962628,12:58,18.0,18:00,True,run_2026_07_16_170805
80,25,13.890725,13:53,18.0,18:00,True,run_2026_07_16_170807
100,25,13.647356,13:39,18.0,18:00,True,run_2026_07_16_170809
150,25,16.050956,16:03,18.0,18:00,True,run_2026_07_16_170812
200,25,17.732998,17:44,18.0,18:00,True,run_2026_07_16_170816
20,35,10.796863,10:48,18.0,18:00,True,run_2026_07_16_170802
40,35,12.729096,12:44,18.0,18:00,True,run_2026_07_16_170804
60,35,13.856021,13:51,18.0,18:00,True,run_2026_07_16_170806
80,35,14.060517,14:04,18.0,18:00,True,run_2026_07_16_170808
100,35,14.884918,14:53,18.0,18:00,True,run_2026_07_16_170810
150,35,16.518416,16:31,18.0,18:00,True,run_2026_07_16_170813
200,35,18.394406,18:24,18.0,18:00,False,run_2026_07_16_170820
