customer_count,vehicle_capacity,instance_name,timing_variant,source_folder,selected_run_timestamp,run_folder_count,run_classification,algorithm,timing_model,base_timing_model,timing_repair_model,fixed_timing_repair_scope,depot_ready_time,depot_ready_time_label,outbound_departure_time,working_day_end_time,working_day_end_time_label,service_time_per_customer_hours_estimate,average_speed_estimate,depot_handling_time,n_suppliers,direct_delivery_threshold,seed,grid_size,n_supplier_direct_customers,n_depot_customers,supplier_direct_routing_scope,depot_routing_scope,customer_delivery_distance,supplier_depot_replenishment_distance,total_system_distance,pre_repair_customer_delivery_distance,post_repair_customer_delivery_distance,pre_repair_total_system_distance,post_repair_total_system_distance,pre_repair_depot_outbound_distance,post_repair_depot_outbound_distance,depot_outbound_distance_change_after_repair,distance_change_after_repair,distance_change_after_repair_pct,matched_fixed_total_system_distance,split_vs_fixed_total_system_distance_delta,split_vs_fixed_total_system_distance_delta_pct,total_routes,pre_repair_total_routes,post_repair_total_routes,depot_routes,pre_repair_depot_routes,post_repair_depot_routes,route_count_change_after_repair,depot_route_count_change_after_repair,routes_added_by_repair,timing_routes_checked,timing_feasible_routes,timing_infeasible_routes,pre_repair_timing_infeasible_routes,post_repair_timing_infeasible_routes,infeasible_route_change_after_repair,infeasible_timing_route_ids,infeasible_timing_customers,latest_finish_time,latest_finish_time_label,pre_repair_latest_finish_time,pre_repair_latest_finish_time_label,post_repair_latest_finish_time,post_repair_latest_finish_time_label,max_route_duration,avg_route_duration,repair_attempts,successful_repairs,unresolved_repairs,unresolved_infeasible_route_ids,unresolved_customers,overall_timing_feasible,depot_timing_feasibility,capacity_feasible,customer_coverage_feasible,supplier_feasible,structural_validity,avg_utilisation,min_utilisation,max_utilisation,depot_avg_utilisation,route_records_count,pre_repair_route_records_count,repair_records_count,best_n_remove,tested_n_remove_values,n_remove_applicability,notes_or_warnings
20,15,20c_cap15,fixed_timing,results/hybrid_supplier_customer_kmeans_timing_fixed_v1,run_2026_07_16_170801,1,main,hybrid_supplier_customer_kmeans_timing_fixed_v1,fixed_depot_ready_time,,,,9.0,09:00,9.0,18.0,18:00,0.16666666666666666,30.0,not_applicable_fixed_timing,3,5,42,10,7,13,supplier_region,global_depot_pool,90.78113835043219,24.0,114.78113835043219,90.78113835043219,,114.78113835043219,,,,,,,114.78113835043219,,,8,8,,3,3,,,,,3,3,0,0,,,[],[],10.796862906609942,10:48,10.796862906609942,10:48,,,1.7968629066099409,1.1860357004839246,,,,,,True,True,True,True,True,True,0.5583333333333333,0.3333333333333333,0.8,0.6,3,3,0,,,not_applicable_section_6_5_is_not_lns,
20,15,20c_cap15,fixed_timing_split_repair,results/hybrid_supplier_customer_kmeans_timing_fixed_split_v1,run_2026_07_16_190958,2,main,hybrid_supplier_customer_kmeans_timing_fixed_split_v1,fixed_depot_ready_time_with_half_split_repair,fixed_depot_ready_time,close_to_half_split_with_2opt,depot routes only after post-relocation 2-opt,9.0,09:00,9.0,18.0,18:00,0.16666666666666666,30.0,not_applicable_fixed_timing,3,5,42,10,7,13,supplier_region,global_depot_pool,90.78113835043219,24.0,114.78113835043219,90.78113835043219,90.78113835043219,114.78113835043219,114.78113835043219,41.74321304355322,41.74321304355322,0.0,0.0,0.0,114.78113835043219,0.0,0.0,8,3,8,3,3,3,5.0,0.0,0.0,3,3,0,0,0,0.0,[],[],10.796862906609942,10:48,10.796862906609942,10:48,10.796862906609942,10:48,1.7968629066099409,1.1860357004839246,0,0,0,[],,True,True,True,True,True,True,0.5583333333333333,0.3333333333333333,0.8,0.6,3,3,3,,,not_applicable_section_6_5_is_not_lns,
20,25,20c_cap25,fixed_timing,results/hybrid_supplier_customer_kmeans_timing_fixed_v1,run_2026_07_16_170801,1,main,hybrid_supplier_customer_kmeans_timing_fixed_v1,fixed_depot_ready_time,,,,9.0,09:00,9.0,18.0,18:00,0.16666666666666666,30.0,not_applicable_fixed_timing,3,5,42,10,7,13,supplier_region,global_depot_pool,73.43109878717637,24.0,97.43109878717637,73.43109878717637,,97.43109878717637,,,,,,,97.43109878717637,,,6,6,,3,3,,,,,3,3,0,0,,,[],[],10.796862906609942,10:48,10.796862906609942,10:48,,,1.7968629066099409,1.1860357004839246,,,,,,True,True,True,True,True,True,0.4466666666666666,0.2,0.72,0.36000000000000004,3,3,0,,,not_applicable_section_6_5_is_not_lns,
20,25,20c_cap25,fixed_timing_split_repair,results/hybrid_supplier_customer_kmeans_timing_fixed_split_v1,run_2026_07_16_190958,2,main,hybrid_supplier_customer_kmeans_timing_fixed_split_v1,fixed_depot_ready_time_with_half_split_repair,fixed_depot_ready_time,close_to_half_split_with_2opt,depot routes only after post-relocation 2-opt,9.0,09:00,9.0,18.0,18:00,0.16666666666666666,30.0,not_applicable_fixed_timing,3,5,42,10,7,13,supplier_region,global_depot_pool,73.43109878717637,24.0,97.43109878717637,73.43109878717637,73.43109878717637,97.43109878717637,97.43109878717637,41.74321304355322,41.74321304355322,0.0,0.0,0.0,97.43109878717637,0.0,0.0,6,3,6,3,3,3,3.0,0.0,0.0,3,3,0,0,0,0.0,[],[],10.796862906609942,10:48,10.796862906609942,10:48,10.796862906609942,10:48,1.7968629066099409,1.1860357004839246,0,0,0,[],,True,True,True,True,True,True,0.4466666666666666,0.2,0.72,0.36000000000000004,3,3,3,,,not_applicable_section_6_5_is_not_lns,
20,35,20c_cap35,fixed_timing,results/hybrid_supplier_customer_kmeans_timing_fixed_v1,run_2026_07_16_170802,1,main,hybrid_supplier_customer_kmeans_timing_fixed_v1,fixed_depot_ready_time,,,,9.0,09:00,9.0,18.0,18:00,0.16666666666666666,30.0,not_applicable_fixed_timing,3,5,42,10,7,13,supplier_region,global_depot_pool,73.43109878717637,24.0,97.43109878717637,73.43109878717637,,97.43109878717637,,,,,,,97.43109878717637,,,6,6,,3,3,,,,,3,3,0,0,,,[],[],10.796862906609942,10:48,10.796862906609942,10:48,,,1.7968629066099409,1.1860357004839246,,,,,,True,True,True,True,True,True,0.319047619047619,0.14285714285714285,0.5142857142857142,0.2571428571428571,3,3,0,,,not_applicable_section_6_5_is_not_lns,
20,35,20c_cap35,fixed_timing_split_repair,results/hybrid_supplier_customer_kmeans_timing_fixed_split_v1,run_2026_07_16_190958,2,main,hybrid_supplier_customer_kmeans_timing_fixed_split_v1,fixed_depot_ready_time_with_half_split_repair,fixed_depot_ready_time,close_to_half_split_with_2opt,depot routes only after post-relocation 2-opt,9.0,09:00,9.0,18.0,18:00,0.16666666666666666,30.0,not_applicable_fixed_timing,3,5,42,10,7,13,supplier_region,global_depot_pool,73.43109878717637,24.0,97.43109878717637,73.43109878717637,73.43109878717637,97.43109878717637,97.43109878717637,41.74321304355322,41.74321304355322,0.0,0.0,0.0,97.43109878717637,0.0,0.0,6,3,6,3,3,3,3.0,0.0,0.0,3,3,0,0,0,0.0,[],[],10.796862906609942,10:48,10.796862906609942,10:48,10.796862906609942,10:48,1.7968629066099409,1.1860357004839246,0,0,0,[],,True,True,True,True,True,True,0.319047619047619,0.14285714285714285,0.5142857142857142,0.2571428571428571,3,3,3,,,not_applicable_section_6_5_is_not_lns,
40,15,40c_cap15,fixed_timing,results/hybrid_supplier_customer_kmeans_timing_fixed_v1,run_2026_07_16_170802,1,main,hybrid_supplier_customer_kmeans_timing_fixed_v1,fixed_depot_ready_time,,,,9.0,09:00,9.0,18.0,18:00,0.16666666666666666,30.0,not_applicable_fixed_timing,3,5,42,20,15,25,supplier_region,global_depot_pool,292.99911567690134,96.0,388.99911567690134,292.99911567690134,,388.99911567690134,,,,,,,388.99911567690134,,,12,12,,4,4,,,,,4,4,0,0,,,[],[],11.843932564229748,11:51,11.843932564229748,11:51,,,2.8439325642297475,2.038610948870135,,,,,,True,True,True,True,True,True,0.7777777777777778,0.4,1.0,0.9166666666666667,4,4,0,,,not_applicable_section_6_5_is_not_lns,
40,15,40c_cap15,fixed_timing_split_repair,results/hybrid_supplier_customer_kmeans_timing_fixed_split_v1,run_2026_07_16_190959,2,main,hybrid_supplier_customer_kmeans_timing_fixed_split_v1,fixed_depot_ready_time_with_half_split_repair,fixed_depot_ready_time,close_to_half_split_with_2opt,depot routes only after post-relocation 2-opt,9.0,09:00,9.0,18.0,18:00,0.16666666666666666,30.0,not_applicable_fixed_timing,3,5,42,20,15,25,supplier_region,global_depot_pool,292.99911567690134,96.0,388.99911567690134,292.99911567690134,292.99911567690134,388.99911567690134,388.99911567690134,119.63331386441621,119.63331386441621,0.0,0.0,0.0,388.99911567690134,0.0,0.0,12,4,12,4,4,4,8.0,0.0,0.0,4,4,0,0,0,0.0,[],[],11.843932564229748,11:51,11.843932564229748,11:51,11.843932564229748,11:51,2.8439325642297475,2.038610948870135,0,0,0,[],,True,True,True,True,True,True,0.7777777777777778,0.4,1.0,0.9166666666666667,4,4,4,,,not_applicable_section_6_5_is_not_lns,
40,25,40c_cap25,fixed_timing,results/hybrid_supplier_customer_kmeans_timing_fixed_v1,run_2026_07_16_170803,6,main,hybrid_supplier_customer_kmeans_timing_fixed_v1,fixed_depot_ready_time,,,,9.0,09:00,9.0,18.0,18:00,0.16666666666666666,30.0,not_applicable_fixed_timing,3,5,42,20,15,25,supplier_region,global_depot_pool,215.18474879574904,48.0,263.18474879574904,215.18474879574904,,263.18474879574904,,,,,,,263.18474879574904,,,7,7,,3,3,,,,,3,3,0,0,,,[],[],12.172169311519506,12:10,12.172169311519506,12:10,,,3.1721693115195055,2.537297063944701,,,,,,True,True,True,True,True,True,0.7999999999999999,0.48,0.96,0.7333333333333334,3,3,0,,,not_applicable_section_6_5_is_not_lns,
40,25,40c_cap25,fixed_timing_split_repair,results/hybrid_supplier_customer_kmeans_timing_fixed_split_v1,run_2026_07_16_190959,4,main,hybrid_supplier_customer_kmeans_timing_fixed_split_v1,fixed_depot_ready_time_with_half_split_repair,fixed_depot_ready_time,close_to_half_split_with_2opt,depot routes only after post-relocation 2-opt,9.0,09:00,9.0,18.0,18:00,0.16666666666666666,30.0,not_applicable_fixed_timing,3,5,42,20,15,25,supplier_region,global_depot_pool,215.18474879574904,48.0,263.18474879574904,215.18474879574904,215.18474879574904,263.18474879574904,263.18474879574904,103.35673575502307,103.35673575502307,0.0,0.0,0.0,263.18474879574904,0.0,0.0,7,3,7,3,3,3,4.0,0.0,0.0,3,3,0,0,0,0.0,[],[],12.172169311519506,12:10,12.172169311519506,12:10,12.172169311519506,12:10,3.1721693115195055,2.537297063944701,0,0,0,[],,True,True,True,True,True,True,0.7999999999999999,0.48,0.96,0.7333333333333334,3,3,3,,,not_applicable_section_6_5_is_not_lns,
