customer_count,vehicle_capacity,instance_name,timing_variant,source_folder,selected_run_timestamp,run_folder_count,latest_available_run_timestamp,selected_run_is_latest_available,run_classification,wave_assignment_before_routing,same_wave_repair_used,algorithm,timing_model,base_timing_model,timing_repair_model,wave_timing_repair_scope,wave_repair_max_recursion_depth,dispatch_waves,dispatch_wave_labels,working_day_end_time,working_day_end_time_label,service_time_per_customer_hours_estimate,average_speed_estimate,depot_handling_time,depot_handling_time_minutes,supplier_arrival_window_start,supplier_arrival_window_start_label,supplier_arrival_window_end,supplier_arrival_window_end_label,arrival_time_step_minutes,depot_arrival_seed,n_suppliers,direct_delivery_threshold,seed,grid_size,n_supplier_direct_customers,n_depot_customers,supplier_direct_routing_scope,depot_routing_scope,customers_per_wave,routes_per_wave,customer_delivery_distance,supplier_depot_replenishment_distance,total_system_distance,pre_repair_customer_delivery_distance,post_repair_customer_delivery_distance,pre_repair_total_system_distance,post_repair_total_system_distance,pre_repair_depot_outbound_distance,post_repair_depot_outbound_distance,depot_outbound_distance_change_after_repair,distance_change_after_repair,distance_change_after_repair_pct,matched_constructed_total_system_distance,split_vs_constructed_total_system_distance_delta,split_vs_constructed_total_system_distance_delta_pct,total_routes,pre_repair_total_routes,post_repair_total_routes,depot_routes,pre_repair_depot_routes,post_repair_depot_routes,route_count_change_after_repair,depot_route_count_change_after_repair,timing_routes_checked,timing_feasible_routes,timing_infeasible_routes,pre_repair_timing_infeasible_routes,post_repair_timing_infeasible_routes,infeasible_route_change_after_repair,routes_before_goods_ready,pre_repair_routes_before_goods_ready,post_repair_routes_before_goods_ready,goods_ready_violation_change_after_repair,routes_exceeding_workday,pre_repair_routes_exceeding_workday,post_repair_routes_exceeding_workday,workday_violation_change_after_repair,routes_without_feasible_wave,customers_without_feasible_wave,infeasible_timing_route_ids,infeasible_timing_customers,latest_finish_time,latest_finish_time_label,pre_repair_latest_finish_time,pre_repair_latest_finish_time_label,post_repair_latest_finish_time,post_repair_latest_finish_time_label,max_route_duration,avg_route_duration,avg_waiting_time,max_waiting_time,repair_attempts,successful_repairs,unresolved_repairs,unresolved_customers,n_unresolved_customers,routes_added_by_repair,overall_timing_feasible,depot_timing_feasibility,capacity_feasible,customer_coverage_feasible,supplier_feasible,structural_validity,avg_utilisation,min_utilisation,max_utilisation,depot_avg_utilisation,route_records_count,customer_wave_records_count,pre_repair_route_records_count,repair_records_count,best_n_remove,tested_n_remove_values,n_remove_applicability,notes_or_warnings
20,15,20c_cap15,dispatch_wave_constructed,results/hybrid_supplier_customer_kmeans_timing_waves_constructed_v1,run_2026_07_17_182625,2,run_2026_07_17_182625,True,main,true,not_applicable,hybrid_supplier_customer_kmeans_timing_waves_constructed_v1,depot_dispatch_waves_wave_constructed,,,,,"[9.0, 11.0, 13.0, 15.0]","[""09:00"", ""11:00"", ""13:00"", ""15:00""]",18.0,18:00,0.16666666666666666,30.0,0.5,30,8.0,08:00,13.0,13:00,15,42,3,5,42,10,7,13,supplier_region,global_depot_pool_by_dispatch_wave,"{""09:00"": 4, ""11:00"": 5, ""13:00"": 4, ""15:00"": 0}","{""09:00"": 2, ""11:00"": 2, ""13:00"": 2}",115.58790101324328,24.0,139.58790101324328,115.58790101324328,,139.58790101324328,,,,,,,139.58790101324328,,,11,11,,6,6,,,,6,6,0,0,,,0,0,,,0,0,,,0,0,[],[],13.693663523273175,13:42,13.693663523273175,13:42,,,1.0194273895465935,0.7308331983686905,15,45,,,,,,,True,True,True,True,True,True,0.40606060606060607,0.2,0.8,0.3,6,13,6,0,,,not_applicable_section_6_6_is_not_lns,
20,15,20c_cap15,dispatch_wave_constructed_split_repair,results/hybrid_supplier_customer_kmeans_timing_waves_constructed_split_v1,run_2026_07_17_201710,1,run_2026_07_17_201710,True,main,true,true,hybrid_supplier_customer_kmeans_timing_waves_constructed_split_v1,depot_dispatch_waves_wave_constructed_with_duration_split_repair,depot_dispatch_waves_wave_constructed,same_wave_duration_split_with_2opt,"depot routes only, after per-wave post-relocation 2-opt",10,"[9.0, 11.0, 13.0, 15.0]","[""09:00"", ""11:00"", ""13:00"", ""15:00""]",18.0,18:00,0.16666666666666666,30.0,0.5,30,8.0,08:00,13.0,13:00,15,42,3,5,42,10,7,13,supplier_region,global_depot_pool_by_dispatch_wave,"{""09:00"": 4, ""11:00"": 5, ""13:00"": 4, ""15:00"": 0}","{""09:00"": 2, ""11:00"": 2, ""13:00"": 2}",115.58790101324328,24.0,139.58790101324328,115.58790101324328,115.58790101324328,139.58790101324328,139.58790101324328,66.5499757063643,66.5499757063643,0.0,0.0,0.0,139.58790101324328,0.0,0.0,11,11,11,6,6,6,0.0,0.0,6,6,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,[],[],13.693663523273175,13:42,13.693663523273175,13:42,13.693663523273175,13:42,1.0194273895465935,0.7308331983686905,15,45,0,0,0,[],0,0,True,True,True,True,True,True,0.40606060606060607,0.2,0.8,0.3,6,13,6,0,,,not_applicable_section_6_6_is_not_lns,
20,25,20c_cap25,dispatch_wave_constructed,results/hybrid_supplier_customer_kmeans_timing_waves_constructed_v1,run_2026_07_17_182625,2,run_2026_07_17_182625,True,main,true,not_applicable,hybrid_supplier_customer_kmeans_timing_waves_constructed_v1,depot_dispatch_waves_wave_constructed,,,,,"[9.0, 11.0, 13.0, 15.0]","[""09:00"", ""11:00"", ""13:00"", ""15:00""]",18.0,18:00,0.16666666666666666,30.0,0.5,30,8.0,08:00,13.0,13:00,15,42,3,5,42,10,7,13,supplier_region,global_depot_pool_by_dispatch_wave,"{""09:00"": 4, ""11:00"": 5, ""13:00"": 4, ""15:00"": 0}","{""09:00"": 2, ""11:00"": 2, ""13:00"": 2}",98.23786144998746,24.0,122.23786144998746,98.23786144998746,,122.23786144998746,,,,,,,122.23786144998746,,,9,9,,6,6,,,,6,6,0,0,,,0,0,,,0,0,,,0,0,[],[],13.693663523273175,13:42,13.693663523273175,13:42,,,1.0194273895465935,0.7308331983686905,15,45,,,,,,,True,True,True,True,True,True,0.2977777777777778,0.12,0.72,0.18000000000000002,6,13,6,0,,,not_applicable_section_6_6_is_not_lns,
20,25,20c_cap25,dispatch_wave_constructed_split_repair,results/hybrid_supplier_customer_kmeans_timing_waves_constructed_split_v1,run_2026_07_17_201711,1,run_2026_07_17_201711,True,main,true,true,hybrid_supplier_customer_kmeans_timing_waves_constructed_split_v1,depot_dispatch_waves_wave_constructed_with_duration_split_repair,depot_dispatch_waves_wave_constructed,same_wave_duration_split_with_2opt,"depot routes only, after per-wave post-relocation 2-opt",10,"[9.0, 11.0, 13.0, 15.0]","[""09:00"", ""11:00"", ""13:00"", ""15:00""]",18.0,18:00,0.16666666666666666,30.0,0.5,30,8.0,08:00,13.0,13:00,15,42,3,5,42,10,7,13,supplier_region,global_depot_pool_by_dispatch_wave,"{""09:00"": 4, ""11:00"": 5, ""13:00"": 4, ""15:00"": 0}","{""09:00"": 2, ""11:00"": 2, ""13:00"": 2}",98.23786144998746,24.0,122.23786144998746,98.23786144998746,98.23786144998746,122.23786144998746,122.23786144998746,66.5499757063643,66.5499757063643,0.0,0.0,0.0,122.23786144998746,0.0,0.0,9,9,9,6,6,6,0.0,0.0,6,6,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,[],[],13.693663523273175,13:42,13.693663523273175,13:42,13.693663523273175,13:42,1.0194273895465935,0.7308331983686905,15,45,0,0,0,[],0,0,True,True,True,True,True,True,0.2977777777777778,0.12,0.72,0.18000000000000002,6,13,6,0,,,not_applicable_section_6_6_is_not_lns,
20,35,20c_cap35,dispatch_wave_constructed,results/hybrid_supplier_customer_kmeans_timing_waves_constructed_v1,run_2026_07_17_182626,2,run_2026_07_17_182626,True,main,true,not_applicable,hybrid_supplier_customer_kmeans_timing_waves_constructed_v1,depot_dispatch_waves_wave_constructed,,,,,"[9.0, 11.0, 13.0, 15.0]","[""09:00"", ""11:00"", ""13:00"", ""15:00""]",18.0,18:00,0.16666666666666666,30.0,0.5,30,8.0,08:00,13.0,13:00,15,42,3,5,42,10,7,13,supplier_region,global_depot_pool_by_dispatch_wave,"{""09:00"": 4, ""11:00"": 5, ""13:00"": 4, ""15:00"": 0}","{""09:00"": 2, ""11:00"": 2, ""13:00"": 2}",98.23786144998746,24.0,122.23786144998746,98.23786144998746,,122.23786144998746,,,,,,,122.23786144998746,,,9,9,,6,6,,,,6,6,0,0,,,0,0,,,0,0,,,0,0,[],[],13.693663523273175,13:42,13.693663523273175,13:42,,,1.0194273895465935,0.7308331983686905,15,45,,,,,,,True,True,True,True,True,True,0.21269841269841266,0.08571428571428572,0.5142857142857142,0.1285714285714286,6,13,6,0,,,not_applicable_section_6_6_is_not_lns,
20,35,20c_cap35,dispatch_wave_constructed_split_repair,results/hybrid_supplier_customer_kmeans_timing_waves_constructed_split_v1,run_2026_07_17_201711,1,run_2026_07_17_201711,True,main,true,true,hybrid_supplier_customer_kmeans_timing_waves_constructed_split_v1,depot_dispatch_waves_wave_constructed_with_duration_split_repair,depot_dispatch_waves_wave_constructed,same_wave_duration_split_with_2opt,"depot routes only, after per-wave post-relocation 2-opt",10,"[9.0, 11.0, 13.0, 15.0]","[""09:00"", ""11:00"", ""13:00"", ""15:00""]",18.0,18:00,0.16666666666666666,30.0,0.5,30,8.0,08:00,13.0,13:00,15,42,3,5,42,10,7,13,supplier_region,global_depot_pool_by_dispatch_wave,"{""09:00"": 4, ""11:00"": 5, ""13:00"": 4, ""15:00"": 0}","{""09:00"": 2, ""11:00"": 2, ""13:00"": 2}",98.23786144998746,24.0,122.23786144998746,98.23786144998746,98.23786144998746,122.23786144998746,122.23786144998746,66.5499757063643,66.5499757063643,0.0,0.0,0.0,122.23786144998746,0.0,0.0,9,9,9,6,6,6,0.0,0.0,6,6,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,[],[],13.693663523273175,13:42,13.693663523273175,13:42,13.693663523273175,13:42,1.0194273895465935,0.7308331983686905,15,45,0,0,0,[],0,0,True,True,True,True,True,True,0.21269841269841266,0.08571428571428572,0.5142857142857142,0.1285714285714286,6,13,6,0,,,not_applicable_section_6_6_is_not_lns,
40,15,40c_cap15,dispatch_wave_constructed,results/hybrid_supplier_customer_kmeans_timing_waves_constructed_v1,run_2026_07_17_182626,2,run_2026_07_17_182626,True,main,true,not_applicable,hybrid_supplier_customer_kmeans_timing_waves_constructed_v1,depot_dispatch_waves_wave_constructed,,,,,"[9.0, 11.0, 13.0, 15.0]","[""09:00"", ""11:00"", ""13:00"", ""15:00""]",18.0,18:00,0.16666666666666666,30.0,0.5,30,8.0,08:00,13.0,13:00,15,42,3,5,42,20,15,25,supplier_region,global_depot_pool_by_dispatch_wave,"{""09:00"": 5, ""11:00"": 9, ""13:00"": 10, ""15:00"": 1}","{""09:00"": 2, ""11:00"": 3, ""13:00"": 2, ""15:00"": 1}",366.0353041541975,96.0,462.0353041541975,366.0353041541975,,462.0353041541975,,,,,,,462.0353041541975,,,16,16,,8,8,,,,8,8,0,0,,,0,0,,,0,0,,,0,0,[],[],15.656718726509952,15:39,15.656718726509952,15:39,,,2.3855268747675313,1.3236229264238013,34,105,,,,,,,True,True,True,True,True,True,0.5833333333333334,0.2,0.8,0.4583333333333334,8,25,8,0,,,not_applicable_section_6_6_is_not_lns,
40,15,40c_cap15,dispatch_wave_constructed_split_repair,results/hybrid_supplier_customer_kmeans_timing_waves_constructed_split_v1,run_2026_07_17_201712,1,run_2026_07_17_201712,True,main,true,true,hybrid_supplier_customer_kmeans_timing_waves_constructed_split_v1,depot_dispatch_waves_wave_constructed_with_duration_split_repair,depot_dispatch_waves_wave_constructed,same_wave_duration_split_with_2opt,"depot routes only, after per-wave post-relocation 2-opt",10,"[9.0, 11.0, 13.0, 15.0]","[""09:00"", ""11:00"", ""13:00"", ""15:00""]",18.0,18:00,0.16666666666666666,30.0,0.5,30,8.0,08:00,13.0,13:00,15,42,3,5,42,20,15,25,supplier_region,global_depot_pool_by_dispatch_wave,"{""09:00"": 5, ""11:00"": 9, ""13:00"": 10, ""15:00"": 1}","{""09:00"": 2, ""11:00"": 3, ""13:00"": 2, ""15:00"": 1}",366.0353041541975,96.0,462.0353041541975,366.0353041541975,366.0353041541975,462.0353041541975,462.0353041541975,192.6695023417123,192.6695023417123,0.0,0.0,0.0,462.0353041541975,0.0,0.0,16,16,16,8,8,8,0.0,0.0,8,8,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,[],[],15.656718726509952,15:39,15.656718726509952,15:39,15.656718726509952,15:39,2.3855268747675313,1.3236229264238013,34,105,0,0,0,[],0,0,True,True,True,True,True,True,0.5833333333333334,0.2,0.8,0.4583333333333334,8,25,8,0,,,not_applicable_section_6_6_is_not_lns,
40,25,40c_cap25,dispatch_wave_constructed,results/hybrid_supplier_customer_kmeans_timing_waves_constructed_v1,run_2026_07_17_182626,4,run_2026_07_17_182626,True,main,true,not_applicable,hybrid_supplier_customer_kmeans_timing_waves_constructed_v1,depot_dispatch_waves_wave_constructed,,,,,"[9.0, 11.0, 13.0, 15.0]","[""09:00"", ""11:00"", ""13:00"", ""15:00""]",18.0,18:00,0.16666666666666666,30.0,0.5,30,8.0,08:00,13.0,13:00,15,42,3,5,42,20,15,25,supplier_region,global_depot_pool_by_dispatch_wave,"{""09:00"": 5, ""11:00"": 9, ""13:00"": 10, ""15:00"": 1}","{""09:00"": 2, ""11:00"": 3, ""13:00"": 2, ""15:00"": 1}",304.4975153824383,48.0,352.4975153824383,304.4975153824383,,352.4975153824383,,,,,,,352.4975153824383,,,12,12,,8,8,,,,8,8,0,0,,,0,0,,,0,0,,,0,0,[],[],15.656718726509952,15:39,15.656718726509952,15:39,,,2.3855268747675313,1.3236229264238013,34,105,,,,,,,True,True,True,True,True,True,0.4666666666666668,0.12,0.96,0.275,8,25,8,0,,,not_applicable_section_6_6_is_not_lns,
40,25,40c_cap25,dispatch_wave_constructed_split_repair,results/hybrid_supplier_customer_kmeans_timing_waves_constructed_split_v1,run_2026_07_17_201712,3,run_2026_07_17_204003,False,main,true,true,hybrid_supplier_customer_kmeans_timing_waves_constructed_split_v1,depot_dispatch_waves_wave_constructed_with_duration_split_repair,depot_dispatch_waves_wave_constructed,same_wave_duration_split_with_2opt,"depot routes only, after per-wave post-relocation 2-opt",10,"[9.0, 11.0, 13.0, 15.0]","[""09:00"", ""11:00"", ""13:00"", ""15:00""]",18.0,18:00,0.16666666666666666,30.0,0.5,30,8.0,08:00,13.0,13:00,15,42,3,5,42,20,15,25,supplier_region,global_depot_pool_by_dispatch_wave,"{""09:00"": 5, ""11:00"": 9, ""13:00"": 10, ""15:00"": 1}","{""09:00"": 2, ""11:00"": 3, ""13:00"": 2, ""15:00"": 1}",304.4975153824383,48.0,352.4975153824383,304.4975153824383,304.4975153824383,352.4975153824383,352.4975153824383,192.6695023417123,192.6695023417123,0.0,0.0,0.0,352.4975153824383,0.0,0.0,12,12,12,8,8,8,0.0,0.0,8,8,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,[],[],15.656718726509952,15:39,15.656718726509952,15:39,15.656718726509952,15:39,2.3855268747675313,1.3236229264238013,34,105,0,0,0,[],0,0,True,True,True,True,True,True,0.4666666666666668,0.12,0.96,0.275,8,25,8,0,,,not_applicable_section_6_6_is_not_lns,selected latest scenario-parameter-matching run; newer mismatched run(s) ignored: run_2026_07_17_204003
