customer_count,vehicle_capacity,base_selected_run_timestamp,wave14_selected_run_timestamp,base_dispatch_waves,wave14_dispatch_waves,base_total_system_distance,wave14_total_system_distance,wave14_minus_base_total_system_distance,wave14_minus_base_total_system_distance_pct,base_timing_feasible,wave14_timing_feasible,base_timing_infeasible_routes,wave14_timing_infeasible_routes,wave14_minus_base_timing_infeasible_routes,base_routes_exceeding_workday,wave14_routes_exceeding_workday,base_unresolved_repairs,wave14_unresolved_repairs,base_unresolved_customers_count,wave14_unresolved_customers_count,wave14_minus_base_unresolved_customers,base_latest_finish_time_label,wave14_latest_finish_time_label,base_latest_finish_time,wave14_latest_finish_time,wave14_minus_base_latest_finish_hours,base_total_routes,wave14_total_routes,wave14_minus_base_total_routes,base_depot_routes,wave14_depot_routes,wave14_minus_base_depot_routes,base_avg_waiting_time,wave14_avg_waiting_time,wave14_minus_base_avg_waiting_time,base_max_waiting_time,wave14_max_waiting_time,wave14_minus_base_max_waiting_time,base_customers_per_wave,wave14_customers_per_wave,base_routes_per_wave,wave14_routes_per_wave,notes_or_warnings
20,15,run_2026_07_17_201710,run_2026_07_17_212253,"[9.0, 11.0, 13.0, 15.0]","[9.0, 11.0, 13.0, 14.0, 15.0]",139.58790101324328,139.58790101324328,0.0,0.0,True,True,0,0,0.0,0,0,0,0,0,0,0.0,13:42,13:42,13.693663523273175,13.693663523273175,0.0,11,11,0.0,6,6,0.0,15,15,0.0,45,45,0.0,"{""09:00"": 4, ""11:00"": 5, ""13:00"": 4, ""15:00"": 0}","{""09:00"": 4, ""11:00"": 5, ""13:00"": 4, ""14:00"": 0, ""15:00"": 0}","{""09:00"": 2, ""11:00"": 2, ""13:00"": 2}","{""09:00"": 2, ""11:00"": 2, ""13:00"": 2}",
20,25,run_2026_07_17_201711,run_2026_07_17_212254,"[9.0, 11.0, 13.0, 15.0]","[9.0, 11.0, 13.0, 14.0, 15.0]",122.23786144998746,122.23786144998746,0.0,0.0,True,True,0,0,0.0,0,0,0,0,0,0,0.0,13:42,13:42,13.693663523273175,13.693663523273175,0.0,9,9,0.0,6,6,0.0,15,15,0.0,45,45,0.0,"{""09:00"": 4, ""11:00"": 5, ""13:00"": 4, ""15:00"": 0}","{""09:00"": 4, ""11:00"": 5, ""13:00"": 4, ""14:00"": 0, ""15:00"": 0}","{""09:00"": 2, ""11:00"": 2, ""13:00"": 2}","{""09:00"": 2, ""11:00"": 2, ""13:00"": 2}",
20,35,run_2026_07_17_201711,run_2026_07_17_212254,"[9.0, 11.0, 13.0, 15.0]","[9.0, 11.0, 13.0, 14.0, 15.0]",122.23786144998746,122.23786144998746,0.0,0.0,True,True,0,0,0.0,0,0,0,0,0,0,0.0,13:42,13:42,13.693663523273175,13.693663523273175,0.0,9,9,0.0,6,6,0.0,15,15,0.0,45,45,0.0,"{""09:00"": 4, ""11:00"": 5, ""13:00"": 4, ""15:00"": 0}","{""09:00"": 4, ""11:00"": 5, ""13:00"": 4, ""14:00"": 0, ""15:00"": 0}","{""09:00"": 2, ""11:00"": 2, ""13:00"": 2}","{""09:00"": 2, ""11:00"": 2, ""13:00"": 2}",
40,15,run_2026_07_17_201712,run_2026_07_17_212255,"[9.0, 11.0, 13.0, 15.0]","[9.0, 11.0, 13.0, 14.0, 15.0]",462.0353041541975,462.0353041541975,0.0,0.0,True,True,0,0,0.0,0,0,0,0,0,0,0.0,15:39,15:23,15.656718726509952,15.385526874767532,-0.27119185174242055,16,16,0.0,8,8,0.0,34,26,-8.0,105,90,-15.0,"{""09:00"": 5, ""11:00"": 9, ""13:00"": 10, ""15:00"": 1}","{""09:00"": 5, ""11:00"": 9, ""13:00"": 10, ""14:00"": 1, ""15:00"": 0}","{""09:00"": 2, ""11:00"": 3, ""13:00"": 2, ""15:00"": 1}","{""09:00"": 2, ""11:00"": 3, ""13:00"": 2, ""14:00"": 1}",
40,25,run_2026_07_17_201712,run_2026_07_17_212255,"[9.0, 11.0, 13.0, 15.0]","[9.0, 11.0, 13.0, 14.0, 15.0]",352.4975153824383,352.4975153824383,0.0,0.0,True,True,0,0,0.0,0,0,0,0,0,0,0.0,15:39,15:23,15.656718726509952,15.385526874767532,-0.27119185174242055,12,12,0.0,8,8,0.0,34,26,-8.0,105,90,-15.0,"{""09:00"": 5, ""11:00"": 9, ""13:00"": 10, ""15:00"": 1}","{""09:00"": 5, ""11:00"": 9, ""13:00"": 10, ""14:00"": 1, ""15:00"": 0}","{""09:00"": 2, ""11:00"": 3, ""13:00"": 2, ""15:00"": 1}","{""09:00"": 2, ""11:00"": 3, ""13:00"": 2, ""14:00"": 1}",selected latest scenario-parameter-matching run; newer mismatched run(s) ignored: run_2026_07_17_204003
40,35,run_2026_07_17_201712,run_2026_07_17_212256,"[9.0, 11.0, 13.0, 15.0]","[9.0, 11.0, 13.0, 14.0, 15.0]",349.7402549291218,349.7402549291218,0.0,0.0,True,True,0,0,0.0,0,0,0,0,0,0,0.0,15:39,15:23,15.656718726509952,15.385526874767532,-0.27119185174242055,12,12,0.0,8,8,0.0,34,26,-8.0,105,90,-15.0,"{""09:00"": 5, ""11:00"": 9, ""13:00"": 10, ""15:00"": 1}","{""09:00"": 5, ""11:00"": 9, ""13:00"": 10, ""14:00"": 1, ""15:00"": 0}","{""09:00"": 2, ""11:00"": 3, ""13:00"": 2, ""15:00"": 1}","{""09:00"": 2, ""11:00"": 3, ""13:00"": 2, ""14:00"": 1}",
60,15,run_2026_07_17_201713,run_2026_07_17_212256,"[9.0, 11.0, 13.0, 15.0]","[9.0, 11.0, 13.0, 14.0, 15.0]",966.5622095668546,966.5622095668546,0.0,0.0,True,True,0,0,0.0,0,0,0,0,0,0,0.0,16:33,16:05,16.558222652089125,16.090551023682124,-0.4676716284070004,21,21,0.0,9,9,0.0,30,23,-7.0,105,90,-15.0,"{""09:00"": 7, ""11:00"": 11, ""13:00"": 15, ""15:00"": 2}","{""09:00"": 7, ""11:00"": 11, ""13:00"": 15, ""14:00"": 2, ""15:00"": 0}","{""09:00"": 2, ""11:00"": 3, ""13:00"": 3, ""15:00"": 1}","{""09:00"": 2, ""11:00"": 3, ""13:00"": 3, ""14:00"": 1}",
60,25,run_2026_07_17_201713,run_2026_07_17_212257,"[9.0, 11.0, 13.0, 15.0]","[9.0, 11.0, 13.0, 14.0, 15.0]",734.4171214434904,734.4171214434904,0.0,0.0,True,True,0,0,0.0,0,0,0,0,0,0,0.0,16:57,16:57,16.945635230213572,16.945635230213572,0.0,15,15,0.0,8,8,0.0,32,24,-8.0,105,90,-15.0,"{""09:00"": 7, ""11:00"": 11, ""13:00"": 15, ""15:00"": 2}","{""09:00"": 7, ""11:00"": 11, ""13:00"": 15, ""14:00"": 2, ""15:00"": 0}","{""09:00"": 2, ""11:00"": 3, ""13:00"": 2, ""15:00"": 1}","{""09:00"": 2, ""11:00"": 3, ""13:00"": 2, ""14:00"": 1}",
60,35,run_2026_07_17_201714,run_2026_07_17_212257,"[9.0, 11.0, 13.0, 15.0]","[9.0, 11.0, 13.0, 14.0, 15.0]",631.6834867460417,631.6834867460417,0.0,0.0,True,True,0,0,0.0,0,0,0,0,0,0,0.0,17:20,17:20,17.326394912890997,17.326394912890997,0.0,14,14,0.0,8,8,0.0,32,24,-8.0,105,90,-15.0,"{""09:00"": 7, ""11:00"": 11, ""13:00"": 15, ""15:00"": 2}","{""09:00"": 7, ""11:00"": 11, ""13:00"": 15, ""14:00"": 2, ""15:00"": 0}","{""09:00"": 2, ""11:00"": 3, ""13:00"": 2, ""15:00"": 1}","{""09:00"": 2, ""11:00"": 3, ""13:00"": 2, ""14:00"": 1}",
80,15,run_2026_07_17_201714,run_2026_07_17_212258,"[9.0, 11.0, 13.0, 15.0]","[9.0, 11.0, 13.0, 14.0, 15.0]",1507.7653021673277,1507.7653021673277,0.0,0.0,True,True,0,0,0.0,0,0,0,0,0,0,0.0,16:58,16:50,16.96651909167439,16.838111305475636,-0.12840778619875337,26,26,0.0,11,11,0.0,29,23,-6.0,105,90,-15.0,"{""09:00"": 10, ""11:00"": 17, ""13:00"": 22, ""15:00"": 2}","{""09:00"": 10, ""11:00"": 17, ""13:00"": 22, ""14:00"": 2, ""15:00"": 0}","{""09:00"": 2, ""11:00"": 4, ""13:00"": 4, ""15:00"": 1}","{""09:00"": 2, ""11:00"": 4, ""13:00"": 4, ""14:00"": 1}",
80,25,run_2026_07_17_201715,run_2026_07_17_212258,"[9.0, 11.0, 13.0, 15.0]","[9.0, 11.0, 13.0, 14.0, 15.0]",1148.9299630247156,1148.9299630247156,0.0,0.0,True,True,0,0,0.0,0,0,0,0,0,0,0.0,16:58,16:48,16.96651909167439,16.80097029103913,-0.16554880063526056,18,18,0.0,10,10,0.0,34,28,-6.0,105,90,-15.0,"{""09:00"": 10, ""11:00"": 17, ""13:00"": 22, ""15:00"": 2}","{""09:00"": 10, ""11:00"": 17, ""13:00"": 22, ""14:00"": 2, ""15:00"": 0}","{""09:00"": 2, ""11:00"": 3, ""13:00"": 4, ""15:00"": 1}","{""09:00"": 2, ""11:00"": 3, ""13:00"": 4, ""14:00"": 1}",
