customer_count,vehicle_capacity,base_selected_run_timestamp,speed40_selected_run_timestamp,base_total_system_distance,speed40_total_system_distance,speed40_minus_base_total_system_distance,speed40_minus_base_total_system_distance_pct,base_timing_feasible,speed40_timing_feasible,base_timing_infeasible_routes,speed40_timing_infeasible_routes,speed40_minus_base_timing_infeasible_routes,base_routes_exceeding_workday,speed40_routes_exceeding_workday,base_unresolved_repairs,speed40_unresolved_repairs,base_unresolved_customers_count,speed40_unresolved_customers_count,speed40_minus_base_unresolved_customers,base_latest_finish_time_label,speed40_latest_finish_time_label,base_latest_finish_time,speed40_latest_finish_time,speed40_minus_base_latest_finish_hours,base_total_routes,speed40_total_routes,speed40_minus_base_total_routes,base_depot_routes,speed40_depot_routes,speed40_minus_base_depot_routes,base_repair_attempts,speed40_repair_attempts,base_successful_repairs,speed40_successful_repairs,base_routes_added_by_repair,speed40_routes_added_by_repair,notes_or_warnings
20,15,run_2026_07_17_201710,run_2026_07_17_204103,139.58790101324328,139.58790101324328,0.0,0.0,True,True,0,0,0.0,0,0,0,0,0,0,0.0,13:42,13:36,13.693663523273175,13.603580975788214,-0.09008254748496114,11,11,0.0,6,6,0.0,0,0,0,0,0,0,
20,25,run_2026_07_17_201711,run_2026_07_17_204104,122.23786144998746,122.23786144998746,0.0,0.0,True,True,0,0,0.0,0,0,0,0,0,0,0.0,13:42,13:36,13.693663523273175,13.603580975788214,-0.09008254748496114,9,9,0.0,6,6,0.0,0,0,0,0,0,0,
20,35,run_2026_07_17_201711,run_2026_07_17_204104,122.23786144998746,122.23786144998746,0.0,0.0,True,True,0,0,0.0,0,0,0,0,0,0,0.0,13:42,13:36,13.693663523273175,13.603580975788214,-0.09008254748496114,9,9,0.0,6,6,0.0,0,0,0,0,0,0,
40,15,run_2026_07_17_201712,run_2026_07_17_204104,462.0353041541975,462.0353041541975,0.0,0.0,True,True,0,0,0.0,0,0,0,0,0,0,0.0,15:39,15:32,15.656718726509952,15.53420571154913,-0.12251301496082156,16,16,0.0,8,8,0.0,0,0,0,0,0,0,
40,25,run_2026_07_17_201712,run_2026_07_17_204105,352.4975153824383,352.4975153824383,0.0,0.0,True,True,0,0,0.0,0,0,0,0,0,0,0.0,15:39,15:32,15.656718726509952,15.53420571154913,-0.12251301496082156,12,12,0.0,8,8,0.0,0,0,0,0,0,0,selected latest scenario-parameter-matching run; newer mismatched run(s) ignored: run_2026_07_17_204003
40,35,run_2026_07_17_201712,run_2026_07_17_204106,349.7402549291218,349.7402549291218,0.0,0.0,True,True,0,0,0.0,0,0,0,0,0,0,0.0,15:39,15:32,15.656718726509952,15.53420571154913,-0.12251301496082156,12,12,0.0,8,8,0.0,0,0,0,0,0,0,
60,15,run_2026_07_17_201713,run_2026_07_17_204106,966.5622095668546,966.5622095668546,0.0,0.0,True,True,0,0,0.0,0,0,0,0,0,0,0.0,16:33,16:15,16.558222652089125,16.25200032240018,-0.30622232968894636,21,21,0.0,9,9,0.0,0,0,0,0,0,0,
60,25,run_2026_07_17_201713,run_2026_07_17_204106,734.4171214434904,734.4171214434904,0.0,0.0,True,True,0,0,0.0,0,0,0,0,0,0,0.0,16:57,16:20,16.945635230213572,16.33422642266018,-0.6114088075533921,15,15,0.0,8,8,0.0,0,0,0,0,0,0,
60,35,run_2026_07_17_201714,run_2026_07_17_204107,631.6834867460417,631.6834867460417,0.0,0.0,True,True,0,0,0.0,0,0,0,0,0,0,0.0,17:20,16:40,17.326394912890997,16.661462851334914,-0.6649320615560832,14,14,0.0,8,8,0.0,0,0,0,0,0,0,
80,15,run_2026_07_17_201714,run_2026_07_17_204107,1507.7653021673277,1507.7653021673277,0.0,0.0,True,True,0,0,0.0,0,0,0,0,0,0,0.0,16:58,16:33,16.96651909167439,16.558222652089125,-0.4082964395852642,26,26,0.0,11,11,0.0,0,0,0,0,0,0,
