timing_lns_scenario,instance_name,customer_count,vehicle_capacity,random_regret_total_lns_system_distance,random_regret_system_improvement_percent,random_regret_n_remove,random_regret_rejected_infeasible_moves,random_regret_timing_feasible,related_regret_total_lns_system_distance,related_regret_system_improvement_percent,related_regret_n_remove,related_regret_rejected_infeasible_moves,related_regret_timing_feasible,winning_operator_pair_by_system_distance,related_minus_random_system_distance,related_minus_random_system_distance_pct_of_random,notes_or_warnings
fixed_split,100c_cap15,100,15,1926.5764910870855,3.1086345080215136,13,0,True,1908.9285459851376,3.996184785399997,8,0,True,related_regret,-17.647945101947926,-0.9160261834187512,
fixed_split,100c_cap25,100,25,1373.0484596100048,3.836943945625957,9,0,True,1376.9562830366933,3.5632549577383896,8,0,True,random_regret,3.9078234266885374,0.28460928668158586,
fixed_split,100c_cap35,100,35,1101.9290122102143,6.639800103674347,25,0,True,1101.9290122102143,6.639800103674347,12,0,True,tie,0.0,0.0,
fixed_split,150c_cap15,150,15,4277.969845445932,2.0566301079279867,12,0,True,4251.761705558525,2.6566608776418152,16,0,True,related_regret,-26.208139887407015,-0.6126303091010942,
fixed_split,150c_cap25,150,25,2858.824857582935,2.6002315426930998,10,0,True,2861.8674211034527,2.4965718233405676,25,0,True,random_regret,3.042563520517888,0.1064270695858682,
fixed_split,150c_cap35,150,35,2338.188469539439,3.607680360287057,10,0,True,2334.574697120456,3.75665890100512,21,0,True,related_regret,-3.6137724189829896,-0.15455436830953181,
fixed_split,200c_cap15,200,15,7462.994807695374,2.563967973689176,8,0,True,7506.309620362662,1.998454586233558,4,0,True,random_regret,43.3148126672877,0.5803945169923496,
fixed_split,200c_cap25,200,25,4880.463027911117,1.7880449803349265,25,0,True,4868.437015441494,2.0300503369943126,28,0,True,related_regret,-12.02601246962331,-0.2464113015680513,
fixed_split,200c_cap35,200,35,3740.8803165176855,5.13246944271965,52,0,True,3727.347524716412,5.475656722479435,30,0,True,related_regret,-13.53279180127356,-0.3617542037236567,
fixed_split,20c_cap15,20,15,108.21746207443732,5.718427583420243,3,0,True,108.21746207443732,5.718427583420243,3,0,True,tie,0.0,0.0,
fixed_split,20c_cap25,20,25,90.75822855161768,6.848809382858932,5,0,True,90.75822855161768,6.848809382858932,3,0,True,tie,0.0,0.0,
fixed_split,20c_cap35,20,35,86.77406702661598,10.938018654432991,3,0,True,86.77406702661598,10.938018654432991,3,0,True,tie,0.0,0.0,
fixed_split,40c_cap15,40,15,378.8707640827188,2.603695274874369,6,0,True,378.8707640827188,2.603695274874369,5,0,True,tie,0.0,0.0,
